0.002 pkt: 361 | sent
0.002 pkt: 362 | sent
0.002 pkt: 363 | sent
0.002 pkt: 364 | sent
0.002 pkt: 365 | sent
0.002 pkt: 366 | sent
0.002 pkt: 367 | sent
0.002 pkt: 368 | sent
0.002 pkt: 369 | sent
0.002 pkt: 370 | sent
0.002 pkt: 371 | sent
0.002 pkt: 372 | sent
0.002 pkt: 373 | sent
0.002 pkt: 374 | sent
0.002 pkt: 375 | sent
0.002 pkt: 376 | sent
0.002 pkt: 377 | sent
0.002 pkt: 378 | sent
0.002 pkt: 379 | sent
0.003 pkt: 380 | sent
0.003 pkt: 381 | sent
0.003 pkt: 382 | sent
0.003 pkt: 383 | sent
0.003 pkt: 384 | sent
0.003 pkt: 385 | sent
0.003 pkt: 386 | sent
0.003 pkt: 387 | sent
0.003 pkt: 388 | sent
0.003 pkt: 389 | sent
0.003 pkt: 390 | sent
0.003 pkt: 391 | sent
0.003 pkt: 392 | sent
0.003 pkt: 393 | sent
0.003 pkt: 394 | sent
0.003 pkt: 395 | sent
0.003 pkt: 396 | sent
0.003 pkt: 397 | sent
0.003 pkt: 398 | sent
0.003 pkt: 399 | sent
0.003 pkt: 400 | sent
0.003 pkt: 401 | sent
0.003 pkt: 402 | sent
0.003 pkt: 403 | sent
0.003 pkt: 404 | sent
0.003 pkt: 405 | sent
0.003 pkt: 406 | sent
0.003 pkt: 407 | sent
0.003 pkt: 408 | sent
0.003 pkt: 409 | sent
0.003 pkt: 410 | sent
0.003 pkt: 411 | sent
0.003 pkt: 412 | sent
0.003 pkt: 413 | sent
0.003 pkt: 414 | sent
0.003 pkt: 415 | sent
0.003 pkt: 416 | sent
0.003 pkt: 417 | sent
0.003 pkt: 418 | sent
0.003 pkt: 419 | sent
0.003 pkt: 420 | sent
0.003 pkt: 421 | sent
0.003 pkt: 422 | sent
0.003 pkt: 423 | sent
0.003 pkt: 424 | sent
0.003 pkt: 425 | sent
0.003 pkt: 426 | sent
0.003 pkt: 427 | sent
0.003 pkt: 428 | sent
0.003 pkt: 429 | sent
