0.001 pkt: 538 | sent
0.001 pkt: 539 | sent
0.001 pkt: 540 | sent
0.001 pkt: 541 | sent
0.001 pkt: 542 | sent
0.001 pkt: 543 | sent
0.001 pkt: 544 | sent
0.001 pkt: 545 | sent
0.001 pkt: 546 | sent
0.001 pkt: 547 | sent
0.001 pkt: 548 | sent
0.001 pkt: 549 | sent
0.001 pkt: 550 | sent
0.001 pkt: 551 | sent
0.001 pkt: 552 | sent
0.001 pkt: 553 | sent
0.001 pkt: 554 | sent
0.001 pkt: 555 | sent
0.001 pkt: 556 | sent
0.001 pkt: 557 | sent
0.001 pkt: 558 | sent
0.001 pkt: 559 | sent
0.001 pkt: 560 | sent
0.001 pkt: 561 | sent
0.001 pkt: 562 | sent
0.001 pkt: 563 | sent
0.001 pkt: 564 | sent
0.001 pkt: 565 | sent
0.002 pkt: 566 | sent
0.002 pkt: 567 | sent
0.002 pkt: 568 | sent
0.002 pkt: 569 | sent
0.002 pkt: 570 | sent
0.002 pkt: 571 | sent
0.002 pkt: 572 | sent
0.002 pkt: 573 | sent
0.002 pkt: 574 | sent
0.002 pkt: 575 | sent
0.002 pkt: 576 | sent
0.002 pkt: 577 | sent
0.002 pkt: 578 | sent
0.002 pkt: 579 | sent
0.002 pkt: 580 | sent
0.002 pkt: 581 | sent
0.002 pkt: 582 | sent
0.002 pkt: 583 | sent
0.002 pkt: 584 | sent
0.002 pkt: 585 | sent
0.002 pkt: 586 | sent
0.002 pkt: 587 | sent
0.002 pkt: 588 | sent
0.002 pkt: 589 | sent
0.002 pkt: 590 | sent
0.002 pkt: 591 | sent
0.002 pkt: 592 | sent
0.002 pkt: 593 | sent
0.002 pkt: 594 | sent
0.002 pkt: 595 | sent
0.002 pkt: 596 | sent
0.002 pkt: 597 | sent
0.002 pkt: 598 | sent
0.002 pkt: 599 | sent
0.002 pkt: 600 | sent
0.002 pkt: 601 | sent
0.002 pkt: 602 | sent
0.002 pkt: 603 | sent
0.002 pkt: 604 | sent
0.002 pkt: 605 | sent
0.002 pkt: 606 | sent
0.002 pkt: 607 | sent
0.002 pkt: 608 | sent
0.002 pkt: 609 | sent
0.002 pkt: 610 | sent
0.002 pkt: 611 | sent
0.002 pkt: 612 | sent
0.002 pkt: 613 | sent
0.002 pkt: 614 | sent
0.002 pkt: 615 | sent
0.002 pkt: 616 | sent
0.002 pkt: 617 | sent
0.002 pkt: 618 | sent
0.002 pkt: 619 | sent
0.002 pkt: 620 | sent
0.002 pkt: 621 | sent
0.002 pkt: 622 | sent
0.002 pkt: 623 | sent
0.002 pkt: 624 | sent
0.002 pkt: 625 | sent
0.002 pkt: 626 | sent
0.002 pkt: 627 | sent
0.002 pkt: 628 | sent
0.002 pkt: 629 | sent
0.002 pkt: 630 | sent
0.002 pkt: 631 | sent
0.002 pkt: 632 | sent
0.002 pkt: 633 | sent
0.002 pkt: 634 | sent
0.002 pkt: 635 | sent
0.002 pkt: 636 | sent
0.002 pkt: 637 | sent
0.002 pkt: 638 | sent
0.002 pkt: 639 | sent
0.002 pkt: 640 | sent
0.002 pkt: 641 | sent
0.002 pkt: 642 | sent
0.002 pkt: 643 | sent
0.002 pkt: 644 | sent
0.002 pkt: 645 | sent
0.002 pkt: 646 | sent
0.002 pkt: 647 | sent
0.002 pkt: 648 | sent
0.002 pkt: 649 | sent
0.002 pkt: 650 | sent
0.002 pkt: 651 | sent
0.002 pkt: 652 | sent
0.002 pkt: 653 | sent
0.002 pkt: 654 | sent
0.002 pkt: 655 | sent
0.002 pkt: 656 | sent
0.002 pkt: 657 | sent
0.002 pkt: 658 | sent
0.002 pkt: 659 | sent
0.002 pkt: 660 | sent
0.002 pkt: 661 | sent
0.002 pkt: 662 | sent
0.002 pkt: 663 | sent
0.002 pkt: 664 | sent
0.002 pkt: 665 | sent
0.002 pkt: 666 | sent
0.002 pkt: 667 | sent
0.002 pkt: 668 | sent
0.002 pkt: 669 | sent
0.002 pkt: 670 | sent
0.002 pkt: 671 | sent
0.002 pkt: 672 | sent
0.002 pkt: 673 | sent
0.002 pkt: 674 | sent
0.002 pkt: 675 | sent
0.002 pkt: 676 | sent
0.002 pkt: 677 | sent
0.002 pkt: 678 | sent
0.002 pkt: 679 | sent
0.002 pkt: 680 | sent
0.002 pkt: 681 | sent
0.002 pkt: 682 | sent
0.002 pkt: 683 | sent
0.002 pkt: 684 | sent
0.002 pkt: 685 | sent
0.002 pkt: 686 | sent
0.002 pkt: 687 | sent
0.002 pkt: 688 | sent
0.002 pkt: 689 | sent
0.002 pkt: 690 | sent
0.002 pkt: 691 | sent
0.002 pkt: 692 | sent
0.002 pkt: 693 | sent
0.002 pkt: 694 | sent
0.002 pkt: 695 | sent
0.002 pkt: 696 | sent
0.002 pkt: 697 | sent
0.002 pkt: 698 | sent
0.002 pkt: 699 | sent
0.002 pkt: 700 | sent
0.002 pkt: 701 | sent
0.002 pkt: 702 | sent
0.002 pkt: 703 | sent
0.002 pkt: 704 | sent
0.002 pkt: 705 | sent
0.002 pkt: 706 | sent
0.002 pkt: 707 | sent
0.002 pkt: 708 | sent
0.002 pkt: 709 | sent
0.002 pkt: 710 | sent
0.002 pkt: 711 | sent
0.002 pkt: 712 | sent
0.002 pkt: 713 | sent
0.002 pkt: 714 | sent
0.002 pkt: 715 | sent
0.002 pkt: 716 | sent
0.002 pkt: 717 | sent
0.002 pkt: 718 | sent
0.002 pkt: 719 | sent
0.002 pkt: 720 | sent
0.002 pkt: 721 | sent
0.002 pkt: 722 | sent
0.002 pkt: 723 | sent
0.002 pkt: 724 | sent
0.002 pkt: 725 | sent
0.002 pkt: 726 | sent
0.002 pkt: 727 | sent
0.002 pkt: 728 | sent
0.002 pkt: 729 | sent
0.002 pkt: 730 | sent
0.002 pkt: 731 | sent
0.002 pkt: 732 | sent
0.002 pkt: 733 | sent
0.002 pkt: 734 | sent
0.002 pkt: 735 | sent
0.002 pkt: 736 | sent
0.002 pkt: 737 | sent
0.002 pkt: 738 | sent
0.002 pkt: 739 | sent
0.002 pkt: 740 | sent
0.002 pkt: 741 | sent
0.002 pkt: 742 | sent
0.002 pkt: 743 | sent
0.002 pkt: 744 | sent
0.002 pkt: 745 | sent
0.002 pkt: 746 | sent
0.002 pkt: 747 | sent
0.002 pkt: 748 | sent
0.002 pkt: 749 | sent
0.002 pkt: 750 | sent
0.002 pkt: 751 | sent
0.002 pkt: 752 | sent
0.002 pkt: 753 | sent
0.002 pkt: 754 | sent
0.002 pkt: 755 | sent
0.002 pkt: 756 | sent
0.002 pkt: 757 | sent
0.002 pkt: 758 | sent
0.002 pkt: 759 | sent
0.002 pkt: 760 | sent
0.002 pkt: 761 | sent
0.002 pkt: 762 | sent
0.002 pkt: 763 | sent
0.002 pkt: 764 | sent
0.002 pkt: 765 | sent
0.002 pkt: 766 | sent
0.002 pkt: 767 | sent
0.002 pkt: 768 | sent
0.002 pkt: 769 | sent
0.002 pkt: 770 | sent
0.002 pkt: 771 | sent
0.002 pkt: 772 | sent
0.002 pkt: 773 | sent
0.002 pkt: 774 | sent
0.002 pkt: 775 | sent
0.002 pkt: 776 | sent
0.002 pkt: 777 | sent
0.002 pkt: 778 | sent
0.002 pkt: 779 | sent
0.002 pkt: 780 | sent
0.002 pkt: 781 | sent
0.002 pkt: 782 | sent
0.002 pkt: 783 | sent
0.002 pkt: 784 | sent
0.002 pkt: 785 | sent
0.002 pkt: 786 | sent
0.002 pkt: 787 | sent
0.002 pkt: 788 | sent
0.002 pkt: 789 | sent
0.002 pkt: 790 | sent
0.002 pkt: 791 | sent
0.002 pkt: 792 | sent
0.002 pkt: 793 | sent
0.002 pkt: 794 | sent
0.002 pkt: 795 | sent
0.002 pkt: 796 | sent
0.002 pkt: 797 | sent
0.002 pkt: 798 | sent
0.002 pkt: 799 | sent
0.002 pkt: 800 | sent
0.002 pkt: 801 | sent
0.002 pkt: 802 | sent
0.002 pkt: 803 | sent
0.002 pkt: 804 | sent
0.002 pkt: 805 | sent
0.002 pkt: 806 | sent
0.002 pkt: 807 | sent
0.002 pkt: 808 | sent
0.002 pkt: 809 | sent
0.002 pkt: 810 | sent
0.002 pkt: 811 | sent
0.002 pkt: 812 | sent
0.002 pkt: 813 | sent
0.002 pkt: 814 | sent
0.002 pkt: 815 | sent
0.002 pkt: 816 | sent
0.002 pkt: 817 | sent
0.002 pkt: 818 | sent
0.002 pkt: 819 | sent
0.002 pkt: 820 | sent
0.002 pkt: 821 | sent
0.002 pkt: 822 | sent
0.002 pkt: 823 | sent
0.002 pkt: 824 | sent
0.002 pkt: 825 | sent
