0.015 ACK: 230   | sent
0.015 pkt: 231   | recieved
0.015 ACK: 231   | sent
0.015 pkt: 232   | recieved
0.015 ACK: 232   | sent
0.015 pkt: 233   | recieved
0.015 ACK: 233   | sent
0.015 pkt: 234   | recieved
0.015 ACK: 234   | sent
0.015 pkt: 235   | recieved
0.015 ACK: 235   | sent
0.015 pkt: 236   | recieved
0.015 ACK: 236   | sent
0.015 pkt: 237   | dropped
0.015 ACK: 236   | sent
0.015 ACK: 236   | sent
0.015 ACK: 236   | sent
0.015 pkt: 241   | dropped
0.015 ACK: 236   | sent
0.015 ACK: 236   | sent
0.015 ACK: 236   | sent
0.016 ACK: 236   | sent
0.016 ACK: 236   | sent
0.016 ACK: 236   | sent
0.016 ACK: 236   | sent
0.016 ACK: 236   | sent
0.016 ACK: 236   | sent
0.016 ACK: 236   | sent
0.016 ACK: 236   | sent
0.016 ACK: 236   | sent
0.016 ACK: 236   | sent
0.016 ACK: 236   | sent
0.016 ACK: 236   | sent
0.016 ACK: 236   | sent
0.016 pkt: 237   | recieved
0.016 ACK: 257   | sent
0.034 pkt: 258   | recieved
0.034 ACK: 258   | sent
0.034 pkt: 259   | recieved
0.034 ACK: 259   | sent
0.034 pkt: 260   | recieved
0.034 ACK: 260   | sent
0.034 pkt: 261   | recieved
0.034 ACK: 261   | sent
0.035 pkt: 262   | recieved
0.035 ACK: 262   | sent
0.035 pkt: 263   | recieved
0.035 ACK: 263   | sent
0.035 pkt: 264   | recieved
0.035 ACK: 264   | sent
0.035 pkt: 265   | recieved
0.035 ACK: 265   | sent
0.035 pkt: 266   | recieved
0.035 ACK: 266   | sent
0.035 pkt: 267   | recieved
0.035 ACK: 267   | sent
0.035 pkt: 268   | recieved
0.035 ACK: 268   | sent
0.035 pkt: 269   | recieved
0.035 ACK: 269   | sent
0.035 pkt: 270   | recieved
0.035 ACK: 270   | sent
0.035 pkt: 271   | recieved
0.035 ACK: 271   | sent
0.035 pkt: 272   | recieved
0.035 ACK: 272   | sent
0.035 pkt: 273   | recieved
0.035 ACK: 273   | sent
0.035 pkt: 274   | recieved
0.035 ACK: 274   | sent
0.035 pkt: 275   | recieved
0.035 ACK: 275   | sent
0.035 pkt: 276   | recieved
0.035 ACK: 276   | sent
0.035 pkt: 277   | recieved
0.036 ACK: 277   | sent
0.036 pkt: 278   | recieved
0.036 ACK: 278   | sent
0.036 pkt: 279   | recieved
0.036 ACK: 279   | sent
0.036 pkt: 280   | recieved
