0.342 ACK: 198   | recieved
0.348 ACK: 198   | recieved
0.353 ACK: 217   | recieved
0.353 pkt: 218   | sent
0.353 pkt: 219   | sent
0.353 pkt: 220   | sent
0.353 ACK: 218   | recieved
0.353 pkt: 221   | sent
0.353 ACK: 219   | recieved
0.354 ACK: 220   | recieved
0.354 ACK: 221   | recieved
0.354 ACK: 222   | recieved
0.354 pkt: 222   | sent
0.354 pkt: 223   | sent
0.354 pkt: 224   | sent
0.355 ACK: 223   | recieved
0.355 pkt: 225   | sent
0.355 pkt: 226   | sent
0.355 pkt: 227   | sent
0.355 ACK: 224   | recieved
0.355 pkt: 228   | sent
0.355 pkt: 229   | sent
0.355 pkt: 230   | sent
0.355 ACK: 225   | recieved
0.355 pkt: 231   | sent
0.355 pkt: 232   | sent
0.355 pkt: 233   | sent
0.356 pkt: 234   | sent
0.356 pkt: 235   | sent
0.356 pkt: 236   | sent
0.356 ACK: 226   | recieved
0.356 ACK: 227   | recieved
0.356 ACK: 228   | recieved
0.356 ACK: 229   | recieved
0.356 pkt: 237   | sent
0.356 pkt: 238   | sent
0.356 pkt: 239   | sent
0.356 ACK: 230   | recieved
0.356 pkt: 240   | sent
0.356 pkt: 241   | sent
0.356 pkt: 242   | sent
0.356 pkt: 243   | sent
0.356 pkt: 244   | sent
0.356 pkt: 245   | sent
0.356 pkt: 246   | sent
0.356 pkt: 247   | sent
0.356 pkt: 248   | sent
0.356 pkt: 249   | sent
0.356 ACK: 231   | recieved
0.357 pkt: 250   | sent
0.357 ACK: 232   | recieved
0.357 ACK: 233   | recieved
0.357 ACK: 234   | recieved
0.357 ACK: 235   | recieved
0.357 ACK: 236   | recieved
0.357 ACK: 237   | recieved
0.357 ACK: 238   | recieved
0.357 ACK: 239   | recieved
0.363 pkt: 251   | sent
0.370 ACK: 240   | recieved
0.370 pkt: 252   | sent
0.376 ACK: 241   | recieved
0.376 pkt: 253   | sent
0.381 ACK: 242   | recieved
0.381 ACK: 243   | recieved
0.381 pkt: 254   | sent
0.381 ACK: 244   | recieved
0.381 pkt: 255   | sent
0.381 ACK: 245   | recieved
0.381 ACK: 246   | recieved
0.381 pkt: 256   | sent
0.381 ACK: 247   | recieved
0.381 ACK: 248   | recieved
0.381 pkt: 257   | sent
0.381 ACK: 249   | recieved
0.381 pkt: 258   | sent
0.382 ACK: 250   | recieved
0.382 pkt: 259   | sent
0.382 pkt: 260   | sent
0.382 ACK: 251   | recieved
0.382 pkt: 261   | sent
0.382 ACK: 252   | recieved
0.382 pkt: 262   | sent
0.382 ACK: 253   | recieved
0.382 pkt: 263   | sent
0.382 ACK: 254   | recieved
